,name,floorSize,image,headline,description
130,"Shop for Sale in Sohna Sector 35,Gurgaon",1008 sq.ft.,https://img.squareyards.com/secondaryPortal/638343870050575140-311023101005105.jpg,,
131,"Shop for Sale in Sohna Sector 35,Gurgaon",449 sq.ft.,https://img.squareyards.com/secondaryPortal/638309092685251929-210923040748748.jpg,,
132,"Shop for Sale in Sector 66,Gurgaon",1272 sq.ft.,https://img.squareyards.com/secondaryPortal/638297895401329413-080923050540540.jpeg,,
133,AIPL Joy Gallery,,,"AIPL Joy Gallery, Sector 66, Gurgaon",
134,"Shop for Sale in Sector 66,Gurgaon",1735 sq.ft.,https://img.squareyards.com/secondaryPortal/638295202770924615-0509230217571757.jpeg,,
135,"Office Space for Sale in Sector 66,Gurgaon",1000 sq.ft.,https://img.squareyards.com/secondaryPortal/638408459197041999-1401240418391839.jpeg,,
136,"Office Space for Sale in Sector 66,Gurgaon",1400 sq.ft.,https://img.squareyards.com/secondaryPortal/638410048921927412-1601241228122812.jpeg,,
137,"Office Space for Sale in Sector 66,Gurgaon",380 sq.ft.,https://img.squareyards.com/secondaryPortal/638411046933802781-1701240411331133.jpeg,,
138,"Showroom for Sale in Sector 65,Gurgaon",610 sq.ft.,https://img.squareyards.com/secondaryPortal/638430012981438714-080224030138138.jpg,,
139,"Shop for Sale in Sector 65,Gurgaon",362 sq.ft.,https://img.squareyards.com/secondaryPortal/638295314795406872-0509230524392439.jpeg,,
140,AIPL Joy Central,,,"AIPL Joy Central, Sector 65, Gurgaon",
141,"Office Space for Sale in Sector 65,Gurgaon",700 sq.ft.,https://img.squareyards.com/secondaryPortal/638282333043964176-2108230448244824.jpg,,
142,"Office Space in IT/SEZ for Sale in Sector 65,Gurgaon",800 sq.ft.,https://img.squareyards.com/secondaryPortal/638393780759014428-2812230434353435.jpg,,
143,"Office Space for Sale in Sector 47,Gurgaon",858 sq.ft.,https://img.squareyards.com/secondaryPortal/638280419661142184-1908231139263926.jpg,,
144,"Shop for Sale in Sector 66,Gurgaon",633 sq.ft.,https://img.squareyards.com/secondaryPortal/638435491980105876-1402241113181318.png,,
145,"Land for Sale in Sector 114,Gurgaon",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638322018097291778-061023031009109.jpg,,
146,"Land for Sale in Sector 114,Gurgaon",104 sq.ft.,https://img.squareyards.com/secondaryPortal/638182124205075025-2704230513401340.jpg,,
147,"Showroom for Sale in Sector 75a,Gurgaon",135 sq.ft.,https://img.squareyards.com/secondaryPortal/638176001561913303-200423030916916.webp,,
